id,publicationDate
doi_________::7701460151ca07ced5612e49aaed18d9,2014-08-04
doi_________::771163f9f35670b2518fe2bdb82594be,2017-01-01
doi_________::774cb7e306df4e3045e8b952f9b5a591,2022-01-01
doi_________::7ea9438b763a4a87f4a8a02c21bd9edd,2024-01-01
doi_________::7ea9cd7535dded719e63578b6fd5318c,2014-01-01
doi_________::80d9dde8f51ed54c115ec23affb272d9,2023-11-08
1287497f2a65::297f9979464bd22abe523457f0b1e698,2017-12-26
1287497f2a65::c120d7d60f9065a3036586297f4f2e67,2019-05-05
1287497f2a65::d47f0458888e61219fc3509391f13206,2021-06-10
57a035e5b1ae::25e4df1690b1d89bf52c29aa5d5d3592,2014-01-01
57a035e5b1ae::2abbb2e05e3945e87fcae7d3186a03be,1998-01-01
57a035e5b1ae::3b848902e594f9d8d75aea49f34f44f6,2011-01-01
57a035e5b1ae::467ba21e56a8cab8b0e2ac36179d3c13,2018-01-01
57a035e5b1ae::5bddb8462a5359718fecd498ffcf655b,2003-01-01
57a035e5b1ae::87cac0d9152e0a4c44b5caba9d335125,2007-01-01
57a035e5b1ae::a84173e5c5696a22a33adcdba3e0c1b8,2021-01-01
57a035e5b1ae::c36434e03246fb14ad46849fc41de131,2012-01-01
78975075580c::25531c40e3a2ff7674243a8e1c1a80ab,2023-01-15
78975075580c::25b371e2dd601bc962367098486e0d0e,2013-04-26
78975075580c::6fa4f344893278849bbefbb80ebb84b3,2018-02-14
78975075580c::82e3490ec3c77e38b381f0d81daddb34,2012-03-20
7f273ee0eb72::1a40e19117e4e4f53bc919519bc14dde,2020-12-15
CSC_________::3750dd16f35a674fcf77f70be86e12c6,2005-01-01
CSC_________::3ca7e0e168c7a6be0dc69896ae4b5505,2021-01-01
CSC_________::6ff999c28481384273095d4f4afa192f,2020-01-01
CSC_________::9c85f453b10708aba9e1a074717e6881,2020-01-01
CSC_________::f085c38a9cf9d592680fa8a4bea12402,2012-01-01
CSC_________::f8a92c96add1362823f35b8a8a0da240,2014-01-01
DansKnawCris::55169eb4cd2ff09e78bf7bbc1be5504a,2018-03-30
DansKnawCris::6bc6395d00aa0cad4fbcdb5ae4243f9e,2004-01-01
RECOLECTA___::01e7ade79fd4dcb3ee668d397b3cb4d1,1975-01-01
RECOLECTA___::0b580baae1bfdc26df8efdb61faa14b3,2018-01-01
RECOLECTA___::0fbbc9ad58e95abc7b0df23e7b397c17,2018-01-01
RECOLECTA___::1111a0527979e602fde9d5148c514384,2021-01-01
RECOLECTA___::15a605a01c9d00c0f1ccb93be4eb4019,2024-01-01
RECOLECTA___::18e4d59103d36909cbe91679501fee1a,2019-01-01
RECOLECTA___::200214e91b06101f18bff9fcaafb82ef,2016-01-01
RECOLECTA___::25f4802cdf31686b29ae17ec6294faaf,2015-01-01
RECOLECTA___::26a2737b8136df6a9efeb1b3a2fbba3b,2014-01-01
RECOLECTA___::2b93f656edb3e4e87c307d1bf96ecfb6,2020-01-01
RECOLECTA___::336f9e2af290ce6b5c903c6e15634a6b,2020-01-01
RECOLECTA___::40c20d19d4990032fe8ed03a88e7aae3,2020-01-01
RECOLECTA___::46c0a66598186070ba21ee3d95150b74,2021-01-01
RECOLECTA___::4b59d70ee4411305f50e1f50dc067f9f,2016-01-01
RECOLECTA___::504a55ebbdf0b6d6500cd9bb690dd0aa,2011-01-01
RECOLECTA___::5a3f3efe12d973982146335f16b92733,1983-01-01
RECOLECTA___::5c5824a7e9b78d24c109d73aef4c4a9e,2011-01-01
