id,language
doi_dedup___::706e98ae13d2ab6d8b49b22e20ff1af1,Undetermined
doi_dedup___::75cbac64947f6371bfd045df9f00611a,Undetermined
doi_dedup___::7740dba71ddd54067969d10d51ea5223,Undetermined
doi_dedup___::784e771af8a6e87a264ccff6074272b2,Undetermined
doi_dedup___::796962f6100ac45d2aa55db6e3aee422,Undetermined
doi_dedup___::7ccae00c11a8359c2b259a537ca2ecbc,Undetermined
doi_dedup___::7cd958a63a5db3d7a641a8427e2e1c24,Undetermined
doi_dedup___::7cdf4aedbe4b374c9286bbaadc482abb,Undetermined
doi_dedup___::8050671f4fef7afaeed58bc557e24db8,Undetermined
doi_dedup___::81a18b9cc565ef73ed5ed340c34617bb,Undetermined
doi_dedup___::85a796ec5f7a1367b1e8bce61d14a5ae,Undetermined
doi_dedup___::8630729428c4c508dd70eadcb009c18d,Undetermined
doi_dedup___::8737a093e71cc9175b3f46f02eb079c1,Undetermined
doi_dedup___::877b84685e2765e4c0f58d50467a4379,Undetermined
doi_dedup___::88b617c3f4eef48a08f4a8ecfef40dc5,Undetermined
doi_dedup___::8c0f178426d624a110d0da1a42cb8883,Undetermined
doi_dedup___::92ec49773bceed6a89014970b29b6a55,Undetermined
doi_dedup___::95629cf00ba41c1e52481c2e8b8cef03,Undetermined
doi_dedup___::9a3d10c754f06aef59adec2919f0640e,Undetermined
doi_dedup___::9bef5ffd8b68e188ee299dc33a0b6f4a,Undetermined
doi_dedup___::9d0c621053ce570b802d0bde979892e3,Undetermined
doi_dedup___::a2c0873aeb7d4396d04cffceacad9c9c,Undetermined
doi_dedup___::a2f7f175d512c291098963f1cc0d6bcb,English
doi_dedup___::a85445eb01d2c6ad60572409895acfc1,Undetermined
doi_dedup___::a9a90999dfc0c1e9f791c93f2e689d75,Undetermined
doi_dedup___::ab2e67cfeba6fc7717efe36813fc918c,Undetermined
doi_dedup___::b113ee8d1dd4673c98a5e7dfcdd37ca9,Undetermined
doi_dedup___::b56ea2f9b941a607431b8b64d2b64079,Undetermined
doi_dedup___::bf5cc1e7debd52f8d76d821fe9bca6f6,Undetermined
doi_dedup___::c2fc52cf04fce049bf1a9417c4b98ff5,Undetermined
doi_dedup___::c4ec5390581476b8a9874a53ccaaffa7,Undetermined
doi_dedup___::c566de82237c24222d6a279a199a5294,Undetermined
doi_dedup___::cdc4ee3b3c8b69de03743df9c7757805,Undetermined
doi_dedup___::d09b03a85b4afad7aa8edbf1033c7ae7,Undetermined
doi_dedup___::d196459ca025fb6b759d7daa4025a1f0,Undetermined
doi_dedup___::d5381acb37419cec41722dc9e130c953,Undetermined
doi_dedup___::d6cf74a4b7fb9b48499d0fd26e53a81a,Undetermined
doi_dedup___::d71e0ea552077c464fe5b998e90799b6,Undetermined
doi_dedup___::d836caf25a06286c58e60be33cc43638,Undetermined
doi_dedup___::da1c3b467a0223b9ee4b71319d397aae,Undetermined
doi_dedup___::de9b5f3f003a15e60ce9a5fd1afb9ad2,Undetermined
doi_dedup___::e27c9158f0670644e832b27adf675c9e,Undetermined
doi_dedup___::e2f66430b93854ac78d7994340d5a559,Undetermined
doi_dedup___::e483ba3db5945f4f0107ce4920644c31,Undetermined
doi_dedup___::e50f7ae3be19e3136da26d414f5e61cf,Undetermined
doi_dedup___::e9034ef0ce604e2033311ae7de4997a5,Undetermined
doi_dedup___::ebf45967ff4838e65e0f379bfc1809cb,Undetermined
doi_dedup___::efbb1f2ff7c6c521abd878d684e5c058,Undetermined
doi_dedup___::f58b1284427f370829185698f04aa80c,Undetermined
doi_dedup___::f646c78986d6359c404f183c0dc06c7a,Undetermined
doi_dedup___::f715f4f9bf0e1ddd637501744c20a6e4,Undetermined
doi_dedup___::f8e9e9a7f204394eaa8c38941864cb78,Undetermined
doi_dedup___::f94f5c77c9f0cbb5a7fc5b1bf136a7e7,Undetermined
doi_dedup___::fa33af1426e400067300d9a0c4594a40,Undetermined
od______1248::0cdbcf24c20822d19105cfd219f156c9,Undetermined
od______1248::0fde69be7d97c0c39fba6b23643e83a8,Undetermined
od______1248::1fb6c3909eb9fd21f1493d286e879f2e,Undetermined
od______1248::1fc3c3b248ffd82dc3624e3ddd24041a,Undetermined
od______1248::213aab1e29eb2e1db61330eb61f59cc4,Undetermined
od______1248::3439bec68ac5441ec4764922d24eb122,Undetermined
od______1248::3530bb3c542cee619b89769c45b1be4d,Undetermined
od______1248::3d0e5d0974ac1d51b6b1ff735f9accab,Undetermined
od______1248::3f0a4abb6f081539d5205fc2c00139d0,Undetermined
od______1248::4bb3a6594844386472d4897d058aceea,Undetermined
od______1248::726bb071edf5251e7062b4b17fc99a43,Undetermined
od______1248::83a582eb3bb264cfa071cb6738f7464e,Undetermined
od______1248::94c3b6eb5b89170f34d965c4f84762e1,Undetermined
od______1248::958deed24900f5741e2da6c8f667e988,Undetermined
od______1248::994d42a6b5c2ff9a3d438ef420c24073,Undetermined
od______1248::9a074853ddccb12b0249e4a40ea4907b,Undetermined
od______1248::a79d8a422dafdce9fef8a8a468a08b2c,Undetermined
od______1248::ac393ee683534a77be4abab9cb75548e,Undetermined
od______1248::b61e30f724626f8fa256af6633613c93,Undetermined
od______1248::bcafb667212e1e61ead2f1a266994347,Undetermined
od______1248::bd99081300a24c2d0a44c76c34e54ca7,Undetermined
od______1248::cf9a8d2bc3043bd0e91c19fd8bd228bf,Undetermined
od______1248::f4e0a198ba1ae972d2fd77be4aa55edf,Undetermined
od______1248::f5b932e7b39ab4cde3dcad9f83438bf8,Undetermined
od______9687::373e1c539d2a481395ce6b7b5204c735,English
od______9687::8d64b976d157166df1913ef4e95a243b,English
od______9687::cbab6ab3505bf532e8d3c63af1beb7d3,English
od_______934::58d09545f647bc22b1abd16d5f515f5d,English
od_______934::7706053dcb38d044576a7e105e0a9de5,English
pmid________::61d639b91dbd0a6fe9657cb2f031abb2,English
od______1248::00da83a36c76d66ee7449d7ee213a671,Undetermined
od______1248::1b3f5ac53024ca80cebef0fb561de3e7,Undetermined
od______1248::25ae12a75b9c20dca5a12370acee5a96,Undetermined
od______1248::3112516cfa982d3214a11c09355248ac,Undetermined
od______1248::53a502dc452ca9c64d2880b006218837,Undetermined
od______1248::5cc64776b6930202869caa1fa2e3610b,Undetermined
od______1248::672bd0e8cd09d0f26783760d20e0a5f2,Undetermined
od______1248::7113fc96e044218bceaa9e9526ff0c79,Undetermined
od______1248::7273e5c79028ae215fcaee8d2072702b,Undetermined
od______1248::906a1df8d802b6bb87c0e9229dade26d,Undetermined
od______1248::9b2e692c641b7de93a1ef47da8add206,Undetermined
od______1248::a6869ca30aaf0fb7bcf8c9457d7c95e4,Undetermined
od______1248::aaff79d4a5d09b977b9e1198555cb08d,Undetermined
od______1248::cd38d5853d41b903f72165ecc64d08c8,Undetermined
od______1248::cd39fa6233af0d7aada1e936416576c1,Undetermined
od______1248::e378573135ce1d294581abaf5fe7465c,Undetermined
od______1248::ead2ec6ec675692f49a4ad5279b1e6d3,Undetermined
od______1248::eee7f18d66ee359caa2f7e2e642742e7,Undetermined
od______1248::f8c0c923d1752681f3dba606bd6beb46,Undetermined
od______1248::ffda60529d6c32227cadff06b71fddd3,Undetermined
od______1248::ffe1284be12e5843952f671b751443a7,Undetermined
od______9687::39bfc06f06a5971b4cb41d7ba56046b9,English
od______9687::43af8daa086106d66c8689148965437f,English
od______9687::82d1dca4b64eef9d95ac93b42b9d4d7e,English
od______9687::eb0ea0f1cf4187f9450c181f54ba806a,English
od______9687::fb841520a9243a184e1d680f706ea309,English
od______9692::d9c630851fa8c67c2a777907db8b23c4,English
dedup_wf_002::e9b6ce12daab932e27b6e7cb113d3f24,English
dedup_wf_002::f286cb623370a85bb2850a6dd6c757a6,Undetermined
od______1248::0fd0a3621e490faa5a5a02961d43ddbb,Undetermined
od______1248::17a9815c4198859ac5dcc1cc2a102587,Undetermined
od______1248::315037f2f76f0fd0aaecb15f28e61aec,Undetermined
od______1248::3cf7bb9d4ae140a1c15f0067b904f24a,Undetermined
od______1248::4b5b3ea3bad69b2d156f407a3009b8a8,Undetermined
od______1248::4ea75c337c6f5727b2167d629c116444,Undetermined
od______1248::6486d1d45e2b382338c6b84f05c5d157,Undetermined
od______1248::6c2982d25c1b536863418ea90c887c78,Undetermined
od______1248::8a5201040bebc3b386cce0111019ca75,Undetermined
od______1248::8afd73e994ed5583b47d398de064acfb,Undetermined
od______1248::a11eee2c49c0156c9445370ef106bfb8,Undetermined
od______1248::a7a9af2b7f7eefac305a381816f0f1d7,Undetermined
od______1248::b0704d5698edaccdaa58f5c620b89fee,Undetermined
od______1248::b90a90f2254fa0543b2f0406681e61f2,Undetermined
od______1248::be2bd8e503800f4fa09c87907d95af04,Undetermined
od______1248::d66fabf7ef53931b052eca364050211a,Undetermined
od______1248::e43c4f26697a179bf277d64bca6c7ff5,Undetermined
od______1248::e813f4698433d08add6ce082c1ced4bb,Undetermined
od______1248::ef62bf9ed768e750318a9efde30bf894,Undetermined
od______9687::079ca2ca428196434bc71e503296f2b5,English
od______9687::1ea53f7ed4f3acad47fc691b98d50a8c,English
od______9692::897efccdefcc287b8912ed604d2929d0,English
od______1248::026111ccceaba65a0ddc8055ee45f44b,Undetermined
od______1248::18f07877b8af253bfc28d17cd5d4b4a3,Undetermined
od______1248::2d3b02db57289f42638c8106f8d2ac35,Undetermined
od______1248::3ba662a385ed0aec57b34eb63f4da21f,Undetermined
od______1248::4e53e9dad2f34653bafb8b79252d1e6b,Undetermined
od______1248::551d41027f9c05dbe75aa1d74a36f714,Undetermined
od______1248::658863a601429ef53abfc061c6117481,Undetermined
od______1248::6bf421687c7ab5601902475dca3fdbe2,Undetermined
od______1248::6c0a1173e4a33dc30697c79690bb5300,Undetermined
od______1248::8326aa8bd62f3091191ca2ce1066198e,Undetermined
od______1248::9f24d6187932d6f206b206caef2f0c82,Undetermined
od______1248::b4827bd03d4c8d8dd5b326ccd97a128b,Undetermined
od______1248::bca249095e183b2b396046eeb7ca00af,Undetermined
od______1248::c1e3e2609d7fa9a4e8d431882a9927b9,Undetermined
od______1248::e835589dc65498eb531fd7e8649c0c15,Undetermined
od______1248::fe742d5bad134cdc73c64052326e1274,Undetermined
od______9687::4db6232185c8b01013234d60fb17ae32,English
od______9687::dc8de5fc99b4f091dc23e2588e043800,English
od______9692::17c01b255544a5e77c65eebec2303e7a,English
od______9692::43dfd3486af19c27b29a9ee3a477ab12,English
od______9692::55cd86e03c83feef130037609e68c935,English
od______9692::62f98aaca3b64aca5bcd57e9e5184d30,English
od______1248::114d8946b928b4d767f796cca8a259b7,Undetermined
od______1248::2202c7f72f3a0c06bad541319d98ad3d,Undetermined
od______1248::2e180d515836985a5d84dae4931bcc7b,Undetermined
od______1248::33c184d53f68a2bbc9c6977f768dacda,Undetermined
od______1248::3b4e72cb79871a39bd56f1fac9acfd43,Undetermined
od______1248::40975150f193f31b48db7c258da89fa0,Undetermined
od______1248::45513d0f8335df00ceccc4e5de96f36f,Undetermined
od______1248::505a8192f27764919a12539363fd5133,Undetermined
od______1248::50e9d1608c9bc079a2cbbf62e2dae4f5,Undetermined
od______1248::71fef1f4fa90ada9f505a1eb74a4ad0b,Undetermined
od______1248::7c97542f5ce3ea471bece67e5064143e,Undetermined
od______1248::8038f281fe053c83d31d95ca994aa3ec,Undetermined
od______1248::b833b3c6613dc8f97470fb50529063b3,Undetermined
od______1248::b95f67a68b3620b355cb7c27831b7d44,Undetermined
od______1248::bdee74ef687a98ca61e359e9aa919cb6,Undetermined
od______1248::c6a825835f6bbf77e01a00e4d5bd7241,Undetermined
od______1248::cedaeb0cb74464e7f9a389fbb1f44f1b,Undetermined
od______1248::d547ae521d02b2c426758c37fe1007d8,Undetermined
od______1248::d5afa2991d129eb9ddbebec01342340e,Undetermined
od______9687::6b8e9ae9f3d27fc0b9e75faf5950b80d,English
od______9687::6dcb681ad81ae7c26fad469652044e39,English
od______9687::d2feb860a1c286129a63038ee7f51152,English
od______9687::fc5afa79ac8e2c0e46f9153a068366a9,English
od______9692::5db79eff6ccc53a6276c113d47e9cb16,English
od______9692::5fc26fa0c158ee12a2bfeca5156d1b9f,English
od______9692::7b374eee46a5c5110038c24ad43da480,English
dedup_wf_002::ad748f09e6457c9a9b416ee9ce964f2b,English
doi_dedup___::426e149758c146218c73afd4e6573bba,Undetermined
od______1248::1734ea8eed9a3b9f58c9bef083c4093a,Undetermined
od______1248::183f670077ee24250c4353803006b152,Undetermined
od______1248::1e2be776e8f2f294373b320ad8232038,Undetermined
od______1248::1e91d58ef7d0375eb463d87592df9d16,Undetermined
od______1248::2958053bf6ae9d2251f2c9a42043eef5,Undetermined
od______1248::29bad5880b379a892807436945481e93,Undetermined
od______1248::38e13c5f9192ee8a93c6af3cdb1eb382,Undetermined
od______1248::395ccec5b763f04fc106edcda1a2c24c,Undetermined
od______1248::3cc4a08f1b253a35d18d200e44783fbb,Undetermined
od______1248::45654be0878997840d6874889499183b,Undetermined
od______1248::49cb0e2f2e3247101998dc4b0142ba2f,Undetermined
od______1248::5921488e8ddacab79080e44a14eded80,Undetermined
od______1248::5b91b3aef2276d6fd40647e51baaae6f,Undetermined
od______1248::5c7fa1ce72752b0e36cace4479da93fd,Undetermined
od______1248::688040a84a910b6ef44ce10ede984042,Undetermined
od______1248::6cdbc9b0c488ecbf8aa36bdbcd299872,Undetermined
od______1248::6d9b4459d04cc185532d5d27ec79203f,Undetermined
od______1248::8e536b183638e0f71c8967dcd27371f6,Undetermined
od______1248::92273f8d6edcaa6a0240c3f63e43a7ef,Undetermined
od______1248::9dfb9eda0856a9ee06c6886d99ad5a46,Undetermined
od______1248::9e079654c0713d7804d0cbb7868f62f8,Undetermined
od______1248::b57ca073bb38d8287da219596c1a87ab,Undetermined
od______1248::edf2b57cd521a033c80e6d1aaab8d6a0,Undetermined
od______1248::f3f75737a7895f43fd1668ab0e38735e,Undetermined
od______1248::f9a2d014f3f8b7386e19255739fd7a89,Undetermined
od______9687::0a1b2d1813923ff4c83e72f686e90a61,English
od______9687::4ca6897089b2b39e9acbaad2b57d7834,English
od______9692::b7a2877c99bd67e8fd31bf2d7f33e634,English
dedup_wf_002::d387deb10c657692f6188016beb19957,Undetermined
od______1248::2f49d502dd923448efd3c5d995bcbfda,Undetermined
od______1248::432d529625124c450668d191b19fd6f9,Undetermined
od______1248::4b3e19f0b9caf1d26a01e6f6782a118c,Undetermined
od______1248::4bf1a7b69f99d8940d2efd90a3b62d5b,Undetermined
od______1248::7a0e6cb168ed832bdd4633289f53d2ba,Undetermined
od______1248::930df78618c620ea25e8d9897cb6770c,Undetermined
od______1248::a09ff1a0d8f4f5661aee86a51fee03d1,Undetermined
od______1248::a54cd5c217a5df2c4ceb9efb2b36163e,Undetermined
od______1248::b75bb327d3b575e0d479637a198baeda,Undetermined
od______1248::c73d8df548d76c0d3dfbfca3033c5f6b,Undetermined
od______1248::df151ef795719d503bf8247022441c92,Undetermined
od______1248::e28018688937f4dc7fe793655857a606,Undetermined
od______1248::ea24b55a253f6205f82c5f5105c6ae5c,Undetermined
od______1248::ea33e19c0468a5e78174cd8ee95a7aa6,Undetermined
od______9687::0473b1be5f03e2d177f09c35e9faff0e,English
od______9687::b96819aff04137aa377bf1ab86ba8da5,English
od______9687::e167a370d1f5a8e2114193d1f5b3627a,English
od______9692::d4ad9732e3333644b5b1a2a68f695d18,English
dedup_wf_002::d81b6ca462485818efd1a9ffb8529ed3,Undetermined
doi_________::0c3c39480bc2bc35ece91ca90897e56a,Undetermined
doi_________::48c614dbd0681196e21ab3e039964e24,Undetermined
od______1248::07c8fab83c68f8cb00ca9d3fa67b71fd,Undetermined
od______1248::14fb03c909012252be86fab1c2d31c7a,Undetermined
od______1248::1df4470a10ef8c194128fcee21494f83,Undetermined
od______1248::3b4c3d95ee9e702560f79fd8e8d86ee2,Undetermined
od______1248::453905e12368de885e0eb23aa4072f56,Undetermined
od______1248::46171413a58496b0a75da7ff503db3b4,Undetermined
od______1248::4936714af81e485fe552ad21541b59af,Undetermined
od______1248::6fbe5c2e6b216faadb0176c841820a16,Undetermined
od______1248::a3b9aa543c91a6d1216ecb85590b59d0,Undetermined
od______1248::c27a924c681a7c8fd6811a0b01d102ad,Undetermined
od______1248::c98e4a3576e3940aa04d9a954eba6926,Undetermined
od______1248::d0d3b0e2e8684cd11ff41fd9e38e699d,Undetermined
od______1248::d8bc83af2ebcfb1999bc17a65f6b8594,Undetermined
od______1248::dd16f8c7162c8bb5e97eaf7c3ea8b69a,Undetermined
od______1248::f95b0fa83b7869427c83ea9be157a13f,Undetermined
od______9687::0c393043b4129ec1abca590520ca9257,English
od______9687::1812999981ac8db2d7973bad7c27fff3,English
od______9687::384a904d4c84b471983ea4c2ce07e4b4,English
od______9687::b53e3cc1e3eabfae2810c7bdec586305,English
od______9687::dbd6ac49eacd6e02fb15030ce3e1a230,English
od______9692::1f62868f37b7a33a7a5912ddc071b474,English
od______9692::320c7d367368eab4ccae5b64e516667a,English
dedup_wf_002::e6846888015e77eb7d80dd1d80d3849b,Undetermined
od______1248::148821a58bf300694034d01587ad2f52,Undetermined
od______1248::25f6b5acb3c3d29fc391233bf7142730,Undetermined
od______1248::2ffa25695d0b37257b50efb116e14cde,Undetermined
od______1248::3289a11bd488ba9ed75f306bbab596f0,Undetermined
od______1248::4086c9b6fbc614097a3e35f87193f858,Undetermined
od______1248::536b3dd081572a71381cc94f905ebc64,Undetermined
od______1248::62bfdeb78f7df8593c6916bf5e95cfbf,Undetermined
od______1248::732da9deb80b5334390e0f01598660ae,Undetermined
od______1248::8e2e123eabf8a707e36a72c1f5ead5a2,Undetermined
od______1248::95b21f003fb17cfd09d935117d53ca0c,Undetermined
od______1248::e8cd527d1601ead5fd034ac7646eeb3e,Undetermined
od______1248::f52cc6dff43b9cf14d23118a76a68ded,Undetermined
od______1248::fd71ef8e7aaa70e243fd74d07691dc91,Undetermined
od______9687::1c01db658ae80696aff3e2470d7e8524,English
od______9687::9e95b2640353e821f364588e75d23a46,English
od______9687::9f4875f0c6a7aa74a4084463b4e1ae1d,English
od______9687::9fe73c2b18fb46789dc18672cf3ec837,English
od______9687::be2c00ca763edf9926d89c482f37f255,English
od______9687::dbb4b3f9d46579df79586690196151eb,English
od______1248::00485c1dfa3a7843fbcd84bc02d1f80f,Undetermined
od______1248::1133d3ee090129f557e1c0351906ce37,Undetermined
od______1248::293fbd38aff16802235163794e57a48c,Undetermined
od______1248::2a1464114685a33964d862aaffdd4590,Undetermined
od______1248::2ba5a5fea83b03c9fe3bf3be91999d31,Undetermined
od______1248::389704850fb5f85354cd648aa5003717,Undetermined
od______1248::68c4e9c26bd2a18cf3b3c509bd858db0,Undetermined
od______1248::75b10c55f2de648838bcba6e8d2d8afd,Undetermined
od______1248::833b5fe713b9d5aa4fe401170060e157,Undetermined
od______1248::8780834c116dfba1697109fa42178b65,Undetermined
od______1248::9cef2443dca21cf15265f4f34975d2b2,Undetermined
od______1248::b6b62111271e713b16c56020d141a5b9,Undetermined
od______1248::c36c7d9d126d781e927c69e353bc1419,Undetermined
od______1248::cf24724bb4e887937daf31cfcd10fa35,Undetermined
od______1248::d39ed56fd7103f2cafcfc92e46fdbef6,Undetermined
od______1248::d622981cce947eec4759b73730768f3a,Undetermined
od______1248::e1ecf27bcb07fd795f5e34f2c1b9f515,Undetermined
od______9687::e1e8dc29731920353427d898ac0c8774,English
od______9692::633a9b8b22f03db9b8bfd51eddef40b2,English
core_ac_uk__::8e2d641045c8456bd64a1ef0b0bf1f80,English
core_ac_uk__::e43f16413e13dafd444446af7aac920c,English
od______1248::081337a69a4fb6aa3996b93ec7ef70b0,Undetermined
od______1248::1708c77588d5a09bcf552c858b0208e5,Undetermined
od______1248::296799ad6a68cfdf4cfc1639b9d051b9,Undetermined
od______1248::4b69fef884da1d1092b0dff3952cba74,Undetermined
od______1248::5f0aed35dc27fb398a2cc7a1ca982be0,Undetermined
od______1248::66667f9ecadcf9dac8e234b4fe57621d,Undetermined
od______1248::6e99c27bece46eedfc5ec92340a146e4,Undetermined
od______1248::76b799c17b94ebd5537343884aaa0ade,Undetermined
od______1248::8e2fd48aed86124a2ab1a9db642eb94f,Undetermined
od______1248::9a4ba91f6626184e05e6e7cc0e91a403,Undetermined
od______1248::b0f0bff708e3d34fba3067314e8c22b2,Undetermined
od______1248::dd7b7d83bba735d31115c311738ed6b8,Undetermined
od______1248::eef1ffe1427ab00d8df6f334e372a6ac,Undetermined
od______1248::f6a4596dca7dc23e962566395e86ed08,Undetermined
od______1248::f83ac2293fde30b07147199948a3846f,Undetermined
od______9687::d45c539526b82ebbc743efe695932c8e,English
od______9687::e101200aa569524b9e4e47846a10690f,English
od______9692::c54c7da8815bc7d2c0a7c2f534a9638b,English
od______1248::06d3fa8be5f617c0647b62c9e7b02ed6,Undetermined
od______1248::07dc984b06017b61019cf9732a14ce25,Undetermined
od______1248::1bc7b07554b851e75c010ed81d0833cb,Undetermined
od______1248::282e1a61a4b47a1f9befd32e1593504a,Undetermined
od______1248::4233f2a627d3efd0c6b3f7577b9f4a51,Undetermined
od______1248::4663fe9db72f40ed78a671542d7a25fe,Undetermined
od______1248::5840814703902d763e32df3889422011,Undetermined
od______1248::6290cef64c4bebd602452dd0f179f638,Undetermined
od______1248::67b5c1960004f22381a5fd62f6417bec,Undetermined
od______1248::70e41b524e0f229eac03b3429a95d56d,Undetermined
od______1248::763b0167123e02cdf29d1d5eb029ecc3,Undetermined
od______1248::7e04be2f56c8870dff5e7c93dba45e86,Undetermined
od______1248::80260e5968a9ea8f71665c68a107bcd0,Undetermined
od______1248::88a9a736bfbad610ed9853a697a1009b,Undetermined
od______1248::93d13b0dd6f2060fef317086f03a7aeb,Undetermined
od______1248::ae9a336f7049d72ae417614cda1641ab,Undetermined
od______1248::b569a52fb12779b6e8e2a4ea9cb1cfe1,Undetermined
od______1248::e47bc394be4d50615bd093db4194f889,Undetermined
od______1248::f2ad56611fd4a6d5342767ea99af4dd8,Undetermined
od______1248::f570c8a81c9f528186ba1b6242c793ba,Undetermined
od______9687::4352d3338ada3833cefbc2cc5ee76f7b,English
od______9687::8975c6e7a2ad15e4d88a7d714d976d6c,English
od______9687::bad5b879976004d581f132212677ae16,English
od______9687::d49b7c87e2d2daccca983c57c92f5131,English
od______9687::e07253a9faff1e0edf8152812c1d32dc,English
od______9692::972783537dd21e91f37f8d1707e41103,English
dedup_wf_002::b83f471c2a0745379147a526e1a17952,English
dedup_wf_002::c01d20f984daed59eaa3c490033a0d7d,English
doi_dedup___::cfa37ec8d16061e18eeca3a93a4ec245,Undetermined
od______1248::2d4b1cba36eea25a082dfc6eae29d8f3,Undetermined
od______1248::5a46b38755a9e04351b217915e84d952,Undetermined
od______1248::5ef0443d74c52c91317cf1bdc03b964c,Undetermined
od______1248::71b5d186276f5a9a8e462dd6b1ed29f1,Undetermined
od______1248::721ac1a77304a01afcba91c442326e37,Undetermined
od______1248::741e6d553860a721e30866f8ba269374,Undetermined
od______1248::92b3f4229a0d05d1483119d6ed1c7824,Undetermined
od______1248::95a6c298e44b9e9c7e99ece07a55ffcc,Undetermined
od______1248::c7f4ee89619640810615f1bea6952272,Undetermined
od______1248::e318d9a7e270fb75cf55ac0a871c6425,Undetermined
od______9687::40f0c2adfc1d822e846cb0065dae1211,English
od______9687::61a3a6785089be7c9006a159c9e34f5b,English
od______9687::70ff628f0750da118129b96efcc13b2b,English
od______9687::cc5266c6ffb0ee174f2b21c04a83a4fc,English
od______9687::df41b9775182f2bece26b420095699af,English
