id,keyword
doi_dedup___::14a2ab35769f2708576ca783d8e62717,apoptosis
doi_dedup___::14a2ab35769f2708576ca783d8e62717,regular article
doi_dedup___::14a2ab35769f2708576ca783d8e62717,cho cells
doi_dedup___::14a2ab35769f2708576ca783d8e62717,cell communication
doi_dedup___::14a2ab35769f2708576ca783d8e62717,radiation tolerance
doi_dedup___::14a2ab35769f2708576ca783d8e62717,cell line
doi_dedup___::14a2ab35769f2708576ca783d8e62717,mitochondria
doi_dedup___::14a2ab35769f2708576ca783d8e62717,03 medical and health sciences
doi_dedup___::14a2ab35769f2708576ca783d8e62717,cricetinae
doi_dedup___::14a2ab35769f2708576ca783d8e62717,"culture media, conditioned"
doi_dedup___::14a2ab35769f2708576ca783d8e62717,insect repellents
doi_dedup___::14a2ab35769f2708576ca783d8e62717,animals
doi_dedup___::14a2ab35769f2708576ca783d8e62717,humans
doi_dedup___::14a2ab35769f2708576ca783d8e62717,lactic acid
doi_dedup___::14a2ab35769f2708576ca783d8e62717,organic chemicals
doi_dedup___::14a2ab35769f2708576ca783d8e62717,energy metabolism
doi_dedup___::14a2ab35769f2708576ca783d8e62717,oxidation-reduction
doi_dedup___::14a2ab35769f2708576ca783d8e62717,radiation-induced bystander effect
doi_dedup___::191f47c35b646136b7d54e4b0f5d268a,reliability
doi_dedup___::191f47c35b646136b7d54e4b0f5d268a,assessment
doi_dedup___::191f47c35b646136b7d54e4b0f5d268a,comparative judgement
doi_dedup___::191f47c35b646136b7d54e4b0f5d268a,architectural education
doi_dedup___::191f47c35b646136b7d54e4b0f5d268a,fairness
doi_dedup___::191f47c35b646136b7d54e4b0f5d268a,engineering education
doi_dedup___::1d1b89c272736fe83861f01298d95fcd,03 medical and health sciences
doi_dedup___::1d1b89c272736fe83861f01298d95fcd,0302 clinical medicine
doi_dedup___::1f1559e35fe79fb1b8f52cc986be53c9,point-of-care systems
doi_dedup___::1f1559e35fe79fb1b8f52cc986be53c9,life sciences
doi_dedup___::1f1559e35fe79fb1b8f52cc986be53c9,02 engineering and technology
doi_dedup___::1f1559e35fe79fb1b8f52cc986be53c9,01 natural sciences
doi_dedup___::1f1559e35fe79fb1b8f52cc986be53c9,3. good health
doi_dedup___::1f1559e35fe79fb1b8f52cc986be53c9,0104 chemical sciences
doi_dedup___::1f1559e35fe79fb1b8f52cc986be53c9,molecular diagnostic techniques
doi_dedup___::1f1559e35fe79fb1b8f52cc986be53c9,diagnostics
doi_dedup___::1f1559e35fe79fb1b8f52cc986be53c9,humans
doi_dedup___::1f1559e35fe79fb1b8f52cc986be53c9,clinical medicine
doi_dedup___::1f1559e35fe79fb1b8f52cc986be53c9,0210 nano-technology
doi_dedup___::1f1559e35fe79fb1b8f52cc986be53c9,biology
doi_dedup___::21d4e28afe67543f927b69f8266bb338,"0202 electrical engineering, electronic engineering, information engineering"
doi_dedup___::21d4e28afe67543f927b69f8266bb338,02 engineering and technology
doi_dedup___::26a0b67126ef4c78eebc25f86f15a37a,computer sciences
doi_dedup___::26a0b67126ef4c78eebc25f86f15a37a,computer-interpretable guideline
doi_dedup___::26a0b67126ef4c78eebc25f86f15a37a,multimorbidity
doi_dedup___::26a0b67126ef4c78eebc25f86f15a37a,articles
doi_dedup___::26a0b67126ef4c78eebc25f86f15a37a,02 engineering and technology
doi_dedup___::26a0b67126ef4c78eebc25f86f15a37a,"decision support systems, clinical"
doi_dedup___::26a0b67126ef4c78eebc25f86f15a37a,3. good health
doi_dedup___::26a0b67126ef4c78eebc25f86f15a37a,benchmarking
doi_dedup___::26a0b67126ef4c78eebc25f86f15a37a,03 medical and health sciences
doi_dedup___::26a0b67126ef4c78eebc25f86f15a37a,0302 clinical medicine
doi_dedup___::26a0b67126ef4c78eebc25f86f15a37a,physicians
doi_dedup___::26a0b67126ef4c78eebc25f86f15a37a,"0202 electrical engineering, electronic engineering, information engineering"
doi_dedup___::26a0b67126ef4c78eebc25f86f15a37a,humans
doi_dedup___::26a0b67126ef4c78eebc25f86f15a37a,computer simulation
doi_dedup___::26a0b67126ef4c78eebc25f86f15a37a,clinical decision support systems
doi_dedup___::26a0b67126ef4c78eebc25f86f15a37a,aged
doi_dedup___::289f325d680968c8ab02e314c7a8c413,0103 physical sciences
doi_dedup___::289f325d680968c8ab02e314c7a8c413,02 engineering and technology
doi_dedup___::289f325d680968c8ab02e314c7a8c413,0210 nano-technology
doi_dedup___::289f325d680968c8ab02e314c7a8c413,01 natural sciences
doi_dedup___::2ec91cdd6bc0901c701e8a48bf03047c,03 medical and health sciences
doi_dedup___::2ec91cdd6bc0901c701e8a48bf03047c,0302 clinical medicine
doi_dedup___::3016f9747eba303ef4505c6b18359c21,"0202 electrical engineering, electronic engineering, information engineering"
doi_dedup___::3016f9747eba303ef4505c6b18359c21,02 engineering and technology
doi_dedup___::3107c3648a1b3f2364137a83308130e7,0103 physical sciences
doi_dedup___::3107c3648a1b3f2364137a83308130e7,01 natural sciences
doi_dedup___::31edf08d4efae6361c8c6680b2a71ca1,0203 mechanical engineering
doi_dedup___::31edf08d4efae6361c8c6680b2a71ca1,02 engineering and technology
doi_dedup___::31edf08d4efae6361c8c6680b2a71ca1,0210 nano-technology
doi_dedup___::3793cd9bccba53382c430248cb627051,0301 basic medicine
doi_dedup___::3793cd9bccba53382c430248cb627051,0303 health sciences
doi_dedup___::3793cd9bccba53382c430248cb627051,03 medical and health sciences
doi_dedup___::398136679d099c043ef002bd62d0d162,0301 basic medicine
doi_dedup___::398136679d099c043ef002bd62d0d162,hot temperature
doi_dedup___::398136679d099c043ef002bd62d0d162,01 natural sciences
doi_dedup___::398136679d099c043ef002bd62d0d162,relative humidity (rh)
doi_dedup___::398136679d099c043ef002bd62d0d162,arbetsmedicin och miljömedicin
doi_dedup___::398136679d099c043ef002bd62d0d162,03 medical and health sciences
doi_dedup___::398136679d099c043ef002bd62d0d162,heat-related mortality
doi_dedup___::398136679d099c043ef002bd62d0d162,humans
doi_dedup___::398136679d099c043ef002bd62d0d162,cities
doi_dedup___::398136679d099c043ef002bd62d0d162,mortality
doi_dedup___::398136679d099c043ef002bd62d0d162,distributed lag nonlinear model (dlnm)
doi_dedup___::398136679d099c043ef002bd62d0d162,0105 earth and related environmental sciences
doi_dedup___::398136679d099c043ef002bd62d0d162,temperatures
doi_dedup___::398136679d099c043ef002bd62d0d162,research
doi_dedup___::398136679d099c043ef002bd62d0d162,humidity
doi_dedup___::398136679d099c043ef002bd62d0d162,occupational health and environmental health
doi_dedup___::398136679d099c043ef002bd62d0d162,environmental exposure
doi_dedup___::398136679d099c043ef002bd62d0d162,"mortality, temperature, relative humidity"
doi_dedup___::398136679d099c043ef002bd62d0d162,3. good health
doi_dedup___::398136679d099c043ef002bd62d0d162,nonlinear dynamics
doi_dedup___::398136679d099c043ef002bd62d0d162,13. climate action
doi_dedup___::398136679d099c043ef002bd62d0d162,seasons
doi_dedup___::398136679d099c043ef002bd62d0d162,erratum
doi_dedup___::39db607e2bdff2f27562c5021cd36c7c,0103 physical sciences
doi_dedup___::39db607e2bdff2f27562c5021cd36c7c,01 natural sciences
doi_dedup___::3a4b56e3a56ccf56efb0cc06d172eb99,"hyperbaric oxygen, hyperbaric oxygen treatment, radionecrosis, dermal soft tissue radionecrosis"
doi_dedup___::3bb4a727b4af7139693443a5bffadb2c,occlusion
doi_dedup___::3bb4a727b4af7139693443a5bffadb2c,electronic computers. computer science
doi_dedup___::3bb4a727b4af7139693443a5bffadb2c,autonomous vehicles
doi_dedup___::3bb4a727b4af7139693443a5bffadb2c,computer vision
doi_dedup___::3bb4a727b4af7139693443a5bffadb2c,electrical engineering. electronics. nuclear engineering
doi_dedup___::3bb4a727b4af7139693443a5bffadb2c,qa75.5-76.95
doi_dedup___::3bb4a727b4af7139693443a5bffadb2c,benchmark
doi_dedup___::3bb4a727b4af7139693443a5bffadb2c,pedestrian detection
doi_dedup___::3bb4a727b4af7139693443a5bffadb2c,tk1-9971
doi_dedup___::3d6c9829d6afa677f80bab9e49afd83f,02 engineering and technology
doi_dedup___::3d6c9829d6afa677f80bab9e49afd83f,0210 nano-technology
doi_dedup___::3d6c9829d6afa677f80bab9e49afd83f,3. good health
doi_dedup___::3ec2ce8000c5dd3e3e19139abe2d97f1,0508 media and communications
doi_dedup___::3ec2ce8000c5dd3e3e19139abe2d97f1,french cinema
doi_dedup___::3ec2ce8000c5dd3e3e19139abe2d97f1,melodrama; female desire
doi_dedup___::3ec2ce8000c5dd3e3e19139abe2d97f1,film and media studies
doi_dedup___::3ec2ce8000c5dd3e3e19139abe2d97f1,0502 economics and business
doi_dedup___::3ec2ce8000c5dd3e3e19139abe2d97f1,05 social sciences
doi_dedup___::3ec2ce8000c5dd3e3e19139abe2d97f1,french and francophone language and literature
doi_dedup___::3ec2ce8000c5dd3e3e19139abe2d97f1,european languages and societies
doi_dedup___::42474229502abdcadb21a35aec55a9bc,"0202 electrical engineering, electronic engineering, information engineering"
doi_dedup___::42474229502abdcadb21a35aec55a9bc,02 engineering and technology
doi_dedup___::439417b80baf11d88de681834920c197,0211 other engineering and technologies
doi_dedup___::439417b80baf11d88de681834920c197,"0202 electrical engineering, electronic engineering, information engineering"
doi_dedup___::439417b80baf11d88de681834920c197,02 engineering and technology
doi_dedup___::43bf17cd8542fb2e009f2cbf044749e6,hygrothermal analysis
doi_dedup___::43bf17cd8542fb2e009f2cbf044749e6,environmental engineering
doi_dedup___::43bf17cd8542fb2e009f2cbf044749e6,structural engineering
doi_dedup___::43bf17cd8542fb2e009f2cbf044749e6,0211 other engineering and technologies
doi_dedup___::43bf17cd8542fb2e009f2cbf044749e6,02 engineering and technology
doi_dedup___::43bf17cd8542fb2e009f2cbf044749e6,7. clean energy
doi_dedup___::43bf17cd8542fb2e009f2cbf044749e6,retrofit
doi_dedup___::43bf17cd8542fb2e009f2cbf044749e6,u-values
doi_dedup___::43bf17cd8542fb2e009f2cbf044749e6,construction engineering and management
doi_dedup___::43bf17cd8542fb2e009f2cbf044749e6,13. climate action
doi_dedup___::43bf17cd8542fb2e009f2cbf044749e6,11. sustainability
doi_dedup___::43bf17cd8542fb2e009f2cbf044749e6,"0202 electrical engineering, electronic engineering, information engineering"
doi_dedup___::43bf17cd8542fb2e009f2cbf044749e6,climate change
doi_dedup___::4813dfde4f2e2fe0fd1f6dacb86cab84,high energy astrophysical phenomena (astro-ph.he)
doi_dedup___::4813dfde4f2e2fe0fd1f6dacb86cab84,ta115
doi_dedup___::4813dfde4f2e2fe0fd1f6dacb86cab84,cosmology and nongalactic astrophysics (astro-ph.co)
doi_dedup___::4813dfde4f2e2fe0fd1f6dacb86cab84,0103 physical sciences
doi_dedup___::4813dfde4f2e2fe0fd1f6dacb86cab84,fos: physical sciences
doi_dedup___::4813dfde4f2e2fe0fd1f6dacb86cab84,"galaxies: active, bl lacertae objects: general, bl lacertae objects: individual: bl lacertae, galaxies: jets"
doi_dedup___::4813dfde4f2e2fe0fd1f6dacb86cab84,astrophysics - high energy astrophysical phenomena
doi_dedup___::4813dfde4f2e2fe0fd1f6dacb86cab84,01 natural sciences
doi_dedup___::4813dfde4f2e2fe0fd1f6dacb86cab84,astrophysics - cosmology and nongalactic astrophysics
doi_dedup___::54699227b0a9064a270f95468eae2968,social sciences (general)
doi_dedup___::54699227b0a9064a270f95468eae2968,h1-99
doi_dedup___::54699227b0a9064a270f95468eae2968,trends
doi_dedup___::54699227b0a9064a270f95468eae2968,h
doi_dedup___::54699227b0a9064a270f95468eae2968,covid-19 pandemic
doi_dedup___::54699227b0a9064a270f95468eae2968,social sciences
doi_dedup___::54699227b0a9064a270f95468eae2968,wellness tourism
doi_dedup___::54699227b0a9064a270f95468eae2968,wellness
doi_dedup___::54bec553303b30bd56f9a621a512424e,artificial intelligence and robotics
doi_dedup___::54bec553303b30bd56f9a621a512424e,computer sciences
doi_dedup___::54bec553303b30bd56f9a621a512424e,modeling
doi_dedup___::54bec553303b30bd56f9a621a512424e,0211 other engineering and technologies
doi_dedup___::54bec553303b30bd56f9a621a512424e,02 engineering and technology
doi_dedup___::54bec553303b30bd56f9a621a512424e,multiple kernels
doi_dedup___::54bec553303b30bd56f9a621a512424e,machine learning
doi_dedup___::54bec553303b30bd56f9a621a512424e,artificial intelligence
doi_dedup___::54bec553303b30bd56f9a621a512424e,support vector machines
doi_dedup___::54bec553303b30bd56f9a621a512424e,"0202 electrical engineering, electronic engineering, information engineering"
doi_dedup___::54bec553303b30bd56f9a621a512424e,[info]computer science [cs]
doi_dedup___::58335f3badbcaef34487bdaf4bed5da9,micro-wind turbines
doi_dedup___::58335f3badbcaef34487bdaf4bed5da9,small wind turbines
doi_dedup___::58335f3badbcaef34487bdaf4bed5da9,turbulence
doi_dedup___::58335f3badbcaef34487bdaf4bed5da9,environmental engineering
doi_dedup___::58335f3badbcaef34487bdaf4bed5da9,natural ventilation
doi_dedup___::58335f3badbcaef34487bdaf4bed5da9,three-dimensional anemometer
doi_dedup___::58335f3badbcaef34487bdaf4bed5da9,wind
doi_dedup___::58335f3badbcaef34487bdaf4bed5da9,ta170-171
doi_dedup___::58335f3badbcaef34487bdaf4bed5da9,electrical and computer engineering
doi_dedup___::58335f3badbcaef34487bdaf4bed5da9,7. clean energy
doi_dedup___::58335f3badbcaef34487bdaf4bed5da9,lcsh:environmental engineering
doi_dedup___::58335f3badbcaef34487bdaf4bed5da9,three-dimensional anemometer.
doi_dedup___::58335f3badbcaef34487bdaf4bed5da9,13. climate action
doi_dedup___::58335f3badbcaef34487bdaf4bed5da9,11. sustainability
doi_dedup___::58335f3badbcaef34487bdaf4bed5da9,lcsh:ta170-171
doi_dedup___::585921c07baf360a7305abe283246c97,construction
doi_dedup___::585921c07baf360a7305abe283246c97,architecture
doi_dedup___::585921c07baf360a7305abe283246c97,engineering
doi_dedup___::585921c07baf360a7305abe283246c97,construction engineering and management
doi_dedup___::585921c07baf360a7305abe283246c97,building
doi_dedup___::585921c07baf360a7305abe283246c97,construction engineering
doi_dedup___::585921c07baf360a7305abe283246c97,civil engineering
doi_dedup___::5df541981dc085cbeedfbf3b8c64f86d,rpl/apel
doi_dedup___::5df541981dc085cbeedfbf3b8c64f86d,entrepreneurial and small business operations
doi_dedup___::5ec29222c80b95b75bf61287dca7d87c,0209 industrial biotechnology
doi_dedup___::5ec29222c80b95b75bf61287dca7d87c,engineering
doi_dedup___::5ec29222c80b95b75bf61287dca7d87c,controls and control theory
doi_dedup___::5ec29222c80b95b75bf61287dca7d87c,pi
doi_dedup___::5ec29222c80b95b75bf61287dca7d87c,"0202 electrical engineering, electronic engineering, information engineering"
doi_dedup___::5ec29222c80b95b75bf61287dca7d87c,gain scheduling
doi_dedup___::5ec29222c80b95b75bf61287dca7d87c,02 engineering and technology
doi_dedup___::5ec29222c80b95b75bf61287dca7d87c,ph process
doi_dedup___::6050b39f4126a5038423e3883e0e6678,big data
doi_dedup___::6050b39f4126a5038423e3883e0e6678,paediatric
doi_dedup___::6050b39f4126a5038423e3883e0e6678,emergency department
doi_dedup___::6050b39f4126a5038423e3883e0e6678,admission
doi_dedup___::6050b39f4126a5038423e3883e0e6678,information technology
doi_dedup___::6050b39f4126a5038423e3883e0e6678,prediction
doi_dedup___::6050b39f4126a5038423e3883e0e6678,t58.5-58.64
doi_dedup___::6050b39f4126a5038423e3883e0e6678,3. good health
doi_dedup___::6050b39f4126a5038423e3883e0e6678,study protocol
doi_dedup___::6050b39f4126a5038423e3883e0e6678,03 medical and health sciences
doi_dedup___::6050b39f4126a5038423e3883e0e6678,machine learning
doi_dedup___::6050b39f4126a5038423e3883e0e6678,0302 clinical medicine
doi_dedup___::6050b39f4126a5038423e3883e0e6678,protocol
doi_dedup___::6050b39f4126a5038423e3883e0e6678,paedriatric
doi_dedup___::61400739b8bc83b047bfc6fd8977cc45,0301 basic medicine
doi_dedup___::61400739b8bc83b047bfc6fd8977cc45,unemployment
doi_dedup___::61400739b8bc83b047bfc6fd8977cc45,0303 health sciences
doi_dedup___::61400739b8bc83b047bfc6fd8977cc45,response
doi_dedup___::61400739b8bc83b047bfc6fd8977cc45,social partnership
doi_dedup___::61400739b8bc83b047bfc6fd8977cc45,1. no poverty
doi_dedup___::61400739b8bc83b047bfc6fd8977cc45,disadvantage
doi_dedup___::61400739b8bc83b047bfc6fd8977cc45,03 medical and health sciences
doi_dedup___::61400739b8bc83b047bfc6fd8977cc45,8. economic growth
doi_dedup___::61400739b8bc83b047bfc6fd8977cc45,10. no inequality
doi_dedup___::61400739b8bc83b047bfc6fd8977cc45,ireland
doi_dedup___::61400739b8bc83b047bfc6fd8977cc45,local development programme
doi_dedup___::61501d626fd862e23bc9a359d99a6de4,computer science - networking and internet architecture
doi_dedup___::61501d626fd862e23bc9a359d99a6de4,networking and internet architecture (cs.ni)
doi_dedup___::61501d626fd862e23bc9a359d99a6de4,fos: computer and information sciences
doi_dedup___::61501d626fd862e23bc9a359d99a6de4,c.2.2
doi_dedup___::61501d626fd862e23bc9a359d99a6de4,68m12
doi_dedup___::61501d626fd862e23bc9a359d99a6de4,"0202 electrical engineering, electronic engineering, information engineering"
doi_dedup___::61501d626fd862e23bc9a359d99a6de4,02 engineering and technology
doi_dedup___::6161985cabfcd342a5fed5a87b851524,minerals
doi_dedup___::6161985cabfcd342a5fed5a87b851524,araucaria
doi_dedup___::6161985cabfcd342a5fed5a87b851524,resistant starch
doi_dedup___::6161985cabfcd342a5fed5a87b851524,starch
doi_dedup___::6161985cabfcd342a5fed5a87b851524,04 agricultural and veterinary sciences
doi_dedup___::6161985cabfcd342a5fed5a87b851524,01 natural sciences
doi_dedup___::6161985cabfcd342a5fed5a87b851524,soil
doi_dedup___::6161985cabfcd342a5fed5a87b851524,0404 agricultural biotechnology
doi_dedup___::6161985cabfcd342a5fed5a87b851524,seeds
doi_dedup___::6161985cabfcd342a5fed5a87b851524,humans
doi_dedup___::6161985cabfcd342a5fed5a87b851524,brazil
doi_dedup___::6161985cabfcd342a5fed5a87b851524,0105 earth and related environmental sciences
doi_dedup___::6340acf332f4f5863fdc4e4814373040,2. zero hunger
doi_dedup___::6340acf332f4f5863fdc4e4814373040,chicken decontamination
doi_dedup___::6340acf332f4f5863fdc4e4814373040,thermosonication
doi_dedup___::6340acf332f4f5863fdc4e4814373040,medicine and health sciences
doi_dedup___::6340acf332f4f5863fdc4e4814373040,ultrasonication
doi_dedup___::6340acf332f4f5863fdc4e4814373040,campylobacter
doi_dedup___::6340acf332f4f5863fdc4e4814373040,chemical immersions
doi_dedup___::6340acf332f4f5863fdc4e4814373040,food science
doi_dedup___::649342e8ae557b1ee853bb5d7d10cabd,0301 basic medicine
doi_dedup___::649342e8ae557b1ee853bb5d7d10cabd,lcsh:r5-920
doi_dedup___::649342e8ae557b1ee853bb5d7d10cabd,0303 health sciences
doi_dedup___::649342e8ae557b1ee853bb5d7d10cabd,portugal
doi_dedup___::649342e8ae557b1ee853bb5d7d10cabd,steinernema feltiae
doi_dedup___::649342e8ae557b1ee853bb5d7d10cabd,sequence
doi_dedup___::649342e8ae557b1ee853bb5d7d10cabd,lcsh:s1-972
doi_dedup___::649342e8ae557b1ee853bb5d7d10cabd,microbiology
doi_dedup___::649342e8ae557b1ee853bb5d7d10cabd,qr1-502
doi_dedup___::649342e8ae557b1ee853bb5d7d10cabd,03 medical and health sciences
doi_dedup___::649342e8ae557b1ee853bb5d7d10cabd,lcsh:agriculture (general)
doi_dedup___::649342e8ae557b1ee853bb5d7d10cabd,lcsh:medicine (general)
doi_dedup___::697489ef3c0315458cf117a2e78d17d9,carbohydrates
doi_dedup___::697489ef3c0315458cf117a2e78d17d9,uterine cervical neoplasms
doi_dedup___::697489ef3c0315458cf117a2e78d17d9,"spectrum analysis, raman"
doi_dedup___::697489ef3c0315458cf117a2e78d17d9,uterine cervical dysplasia
doi_dedup___::697489ef3c0315458cf117a2e78d17d9,lipids
doi_dedup___::697489ef3c0315458cf117a2e78d17d9,01 natural sciences
doi_dedup___::697489ef3c0315458cf117a2e78d17d9,0104 chemical sciences
doi_dedup___::697489ef3c0315458cf117a2e78d17d9,3. good health
doi_dedup___::697489ef3c0315458cf117a2e78d17d9,nucleic acids
doi_dedup___::697489ef3c0315458cf117a2e78d17d9,0103 physical sciences
doi_dedup___::697489ef3c0315458cf117a2e78d17d9,humans
doi_dedup___::697489ef3c0315458cf117a2e78d17d9,female
doi_dedup___::697489ef3c0315458cf117a2e78d17d9,amino acids
doi_dedup___::697489ef3c0315458cf117a2e78d17d9,peptides
doi_dedup___::69b6e2d2454897f2154a26130db78209,"213 electronic, automation and communications engineering, electronics"
doi_dedup___::69b6e2d2454897f2154a26130db78209,"0202 electrical engineering, electronic engineering, information engineering"
doi_dedup___::69b6e2d2454897f2154a26130db78209,02 engineering and technology
doi_dedup___::69b6e2d2454897f2154a26130db78209,walton institute for information and communications systems science
doi_dedup___::69b6e2d2454897f2154a26130db78209,telecommunications software and systems group
doi_dedup___::6da871695ed4abd0675daa300f65259f,sanctuary
doi_dedup___::6da871695ed4abd0675daa300f65259f,pilgrimage studies
doi_dedup___::6da871695ed4abd0675daa300f65259f,geographical research
doi_dedup___::6da871695ed4abd0675daa300f65259f,05 social sciences
doi_dedup___::6da871695ed4abd0675daa300f65259f,catholic studies
doi_dedup___::6da871695ed4abd0675daa300f65259f,human geography
doi_dedup___::6da871695ed4abd0675daa300f65259f,spatial science
doi_dedup___::6da871695ed4abd0675daa300f65259f,christianity
doi_dedup___::6da871695ed4abd0675daa300f65259f,tourism and travel
doi_dedup___::6da871695ed4abd0675daa300f65259f,pilgrimage centre
doi_dedup___::6da871695ed4abd0675daa300f65259f,pilgrimage
doi_dedup___::6da871695ed4abd0675daa300f65259f,0502 economics and business
doi_dedup___::6da871695ed4abd0675daa300f65259f,11. sustainability
doi_dedup___::6da871695ed4abd0675daa300f65259f,other geography
doi_dedup___::6e6fd7f554442c550134d8471d64d3d5,lc8-6691
doi_dedup___::6e6fd7f554442c550134d8471d64d3d5,05 social sciences
